Date,Open,High,Low,Close
2019-01-02,149.05,150.58,148.60,150.03
2019-03-13,151.64,156.11,151.16,154.68
2019-05-22,156.65,160.83,156.49,159.50
2019-07-31,139.97,140.21,135.55,137.09
2019-10-09,135.64,140.56,135.45,138.92
2019-12-18,129.21,132.44,128.00,132.07
2020-02-26,131.76,133.05,128.42,129.14
2020-05-06,135.82,137.88,134.45,136.14
2020-07-15,149.50,151.37,147.55,150.38
2020-09-23,134.46,136.07,132.63,133.29
2020-12-02,165.35,166.89,161.57,162.38
2021-02-10,171.47,172.75,166.75,168.14
2021-04-21,165.94,167.67,161.85,163.15
2021-06-30,161.10,163.66,159.79,162.22
2021-09-08,178.41,178.90,173.50,175.44
2021-11-17,188.29,189.96,187.94,189.81
2022-01-26,196.19,196.43,195.13,196.35
2022-04-06,232.32,233.26,232.28,232.74
2022-06-15,238.57,240.45,237.52,239.68
2022-08-24,237.91,238.23,236.06,236.75
2022-11-02,246.75,249.68,246.09,248.85
2023-01-11,217.89,219.41,217.12,219.03
2023-03-22,217.16,218.27,216.39,218.19
2023-05-31,206.97,210.42,205.73,209.68
2023-08-09,207.16,208.80,204.30,204.33
2023-10-18,216.53,218.06,214.70,215.38
2023-12-27,250.38,254.38,249.91,252.43
2024-03-06,240.61,244.08,240.43,243.00
2024-05-15,259.16,263.04,257.17,261.77
2024-07-24,267.36,268.68,266.19,267.32
2024-10-02,265.16,266.06,262.64,263.11
2024-12-11,233.53,233.56,228.50,230.15
2024-12-31,231.89,233.17,229.33,229.81
